HomeTeam,AwayTeam,MeanGoalsHome,MeanShotsOnTargetHome,MeanGoalsAway,MeanShotsOnTargetAway,HomeTeam_FTR_Mode,AwayTeam_FTR_Mode,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Oostende,Standard,1.5,4.864583333333333,1.4112903225806452,4.1525423728813555,"('Oostende', 'A')","('Standard', 'A')",5,6,6,5
Antwerp,Waasland-Beveren,1.6761363636363635,5.194915254237288,1.094890510948905,3.774193548387097,"('Antwerp', 'H')","('Waasland-Beveren', 'H')",8,3,4,5
Mechelen,Genk,1.5642857142857143,5.173076923076923,1.5148247978436657,4.9576271186440675,"('Mechelen', 'H')","('Genk', 'H')",6,7,4,8
Eupen,Mouscron,1.2657342657342658,4.168141592920354,1.1132075471698113,3.819672131147541,"('Eupen', 'A')","('Mouscron', 'H')",2,2,5,10
Oud-Heverlee Leuven,Beerschot VA,1.544776119402985,4.712328767123288,1.2162162162162162,3.8055555555555554,"('Oud-Heverlee Leuven', 'H')","('Beerschot VA', 'H')",4,4,3,13
Kortrijk,Charleroi,1.466403162055336,4.7094017094017095,1.1497175141242937,4.461538461538462,"('Kortrijk', 'H')","('Charleroi', 'H')",5,4,7,9
Club Brugge,Standard,2.306451612903226,6.5210084033613445,1.4112903225806452,4.1525423728813555,"('Club Brugge', 'H')","('Standard', 'A')",21,6,2,5
Waregem,Oostende,1.6418439716312057,4.568421052631579,0.9939024390243902,4.073684210526316,"('Waregem', 'H')","('Oostende', 'H')",9,3,5,13
Anderlecht,Gent,2.3002680965147455,5.508474576271187,1.462162162162162,5.237288135593221,"('Anderlecht', 'H')","('Gent', 'A')",17,6,3,4
St Truiden,Cercle Brugge,1.3624595469255663,4.38135593220339,0.986013986013986,3.9320388349514563,"('St Truiden', 'H')","('Cercle Brugge', 'H')",5,3,4,14
Mouscron,Kortrijk,1.669811320754717,4.193548387096774,1.0317460317460319,3.8448275862068964,"('Mouscron', 'H')","('Kortrijk', 'H')",9,3,4,7
Oostende,St Truiden,1.5,4.864583333333333,1.0224358974358974,3.73109243697479,"('Oostende', 'A')","('St Truiden', 'H')",5,3,6,11
