1,1,B1,10/11,2010-11-20,,11,28,4,4,D,2,0,H
1,1,B1,10/11,2010-11-20,,12,1,0,1,A,0,0,D
1,1,B1,10/11,2010-11-20,,14,23,1,2,A,0,0,D
1,1,B1,10/11,2010-11-20,,15,16,3,1,H,1,1,D
1,1,B1,10/11,2010-11-21,,7,5,0,1,A,0,0,D
1,1,B1,10/11,2010-11-21,,27,25,2,0,H,0,0,D
1,1,B1,10/11,2010-11-26,,10,11,1,2,A,1,2,A
1,1,B1,10/11,2010-11-27,,1,6,4,1,H,0,1,A
1,1,B1,10/11,2010-11-27,,5,12,1,1,D,0,0,D
1,1,B1,10/11,2010-11-27,,25,14,7,0,H,3,0,H
1,1,B1,10/11,2010-11-27,,28,9,1,1,D,0,1,A
1,1,B1,10/11,2010-11-28,,16,27,0,0,D,0,0,D
1,1,B1,10/11,2010-11-28,,23,7,2,1,H,1,0,H
1,1,B1,10/11,2010-03-12,,15,25,2,1,H,1,0,H
1,1,B1,10/11,2010-04-12,,9,11,0,3,A,0,2,A
1,1,B1,10/11,2010-04-12,,23,13,1,0,H,0,0,D
1,1,B1,10/11,2010-05-12,,7,28,4,3,H,3,3,D
1,1,B1,10/11,2010-05-12,,12,10,0,1,A,0,0,D
1,1,B1,10/11,2010-05-12,,27,1,1,2,A,0,1,A
1,1,B1,10/11,2010-10-12,,16,7,0,1,A,0,1,A
1,1,B1,10/11,2010-11-12,,5,27,1,3,A,0,1,A
1,1,B1,10/11,2010-11-12,,10,9,5,1,H,1,0,H
1,1,B1,10/11,2010-11-12,,11,6,2,1,H,1,1,D
1,1,B1,10/11,2010-11-12,,25,23,1,0,H,0,0,D
1,1,B1,10/11,2010-11-12,,28,12,1,1,D,0,0,D
1,1,B1,10/11,2010-12-12,,1,15,0,0,D,0,0,D
1,1,B1,10/11,2010-12-12,,13,14,3,1,H,2,1,H
1,1,B1,10/11,2010-12-17,,13,25,2,1,H,1,0,H
1,1,B1,10/11,2010-12-18,,9,6,1,0,H,1,0,H
1,1,B1,10/11,2010-12-18,,14,10,1,1,D,1,0,H
1,1,B1,10/11,2010-12-18,,27,28,2,0,H,0,0,D
1,1,B1,10/11,2010-12-19,,7,1,0,2,A,0,0,D
1,1,B1,10/11,2010-12-26,,1,14,6,0,H,2,0,H
1,1,B1,10/11,2010-12-26,,5,25,1,0,H,1,0,H
1,1,B1,10/11,2010-12-26,,11,7,0,2,A,0,2,A
1,1,B1,10/11,2010-12-29,,7,6,5,0,H,2,0,H
1,1,B1,10/11,2010-12-29,,12,9,0,0,D,0,0,D
1,1,B1,10/11,2010-12-29,,13,1,0,2,A,0,1,A
1,1,B1,10/11,2010-12-29,,14,28,2,1,H,0,0,D
1,1,B1,10/11,2010-12-30,,15,10,2,2,D,2,0,H
1,1,B1,10/11,2010-12-30,,27,11,2,2,D,1,1,D
1,1,B1,10/11,2011-01-18,,9,16,0,1,A,0,0,D
1,1,B1,10/11,2011-01-18,,13,15,0,0,D,0,0,D
1,1,B1,10/11,2011-01-21,,9,7,1,4,A,0,3,A
1,1,B1,10/11,2011-01-22,,5,14,3,0,H,0,0,D
